Rank                Country              Economic Score (0-1)            Economic Rank                 Country               Education Score (0-1)                             Education Rank        Country        Education Score (0-1) Education Rank  Country           Score (0-1)
57                  Netherlands           0.713                                    135                 United Arab Emirates     0.510                                                   57            Italy                      0,997         135    Gambia, The              0,891
58                  France                0.710                                    136                 Qatar                    0.504                                                   58            Ecuador                    0,997         136    Senegal                  0,888
59                  Belgium               0.709                                    137                 Kuwait                   0.498                                                   59            Kuwait                     0,997         137    Cameroon                 0,885
60                  Colombia              0.708                                    138                 Maldives                 0.491                                                   60            Poland                     0,996         138    Mauritania               0,879
61                  Cameroon              0.706                                    139                 Lebanon                  0.487                                                   61            Sweden                     0,996         139    Burkina Faso             0,873
62                  Germany               0.706                                    140                 Turkey                   0.486                                                   62            Azerbaijan                 0,996         140    Sierra Leone             0,860
63                  Poland                0.705                                    141                 Mali                     0.475                                                   63            Moldova                    0,996         141    Ethiopia                 0,850
64                  Georgia               0.705                                    142                 Algeria                  0.456                                                   64            Croatia                    0,995         142    Liberia                  0,839
65                  Israel                0.705                                    143                 Oman                     0.453                                                   65            Kazakhstan                 0,995         143    Côte d'Ivoire            0,828
66                  Tanzania              0.703                                    144                 Tunisia                  0.445                                                   66            Panama                     0,994         144    Pakistan                 0,811
67                  Suriname              0.703                                    145                 Mauritania               0.440                                                   67            Greece                     0,994         145    Iraq                     0,807
68                  Trinidad and Tobago   0.703                                    146                 Egypt                    0.421                                                   68            Trinidad and Tobago        0,994         146    Nigeria                  0,806
69                  China                 0.701                                    147                 Bangladesh               0.418                                                   69            South Africa               0,994         147    Togo                     0,782
70                  Australia             0.700                                    148                 Morocco                  0.407                                                   70            Malaysia                   0,994         148    Angola                   0,759
71                  Spain                 0.699                                    149                 Saudi Arabia             0.390                                                   71            Suriname                   0,993         149    Mali                     0,757
72                  Cyprus                0.694                                    150                 Iran. Islamic Rep.       0.375                                                   72            Hungary                    0,993         150    Benin                    0,733
73                  Chad                  0.693                                    151                 India                    0.326                                                   73            Mongolia                   0,993         151    Niger*                   0,726
74                  Uganda                0.692                                    152                 Pakistan                 0.316                                                   74            Thailand                   0,992         152    Yemen                    0,717
75                  Luxembourg            0.691                                    153                 Syria                    0.285                                                   75            Brunei Darussalam          0,992         153    Guinea                   0,680
76                  Uruguay               0.690                                    154                 Yemen                    0.282                                                   76            Portugal                   0,992         154    Congo, Democratic Rep.   0,658
77                  Burkina Faso          0.689                                    155                 Iraq                     0.228                                                   77            El Salvador                0,992         155    Chad                     0,589
78                  Nigeria               0.687                                    156                 Afghanistan*             0.180                                                   78            Mauritius                  0,992         156    Afghanistan*             0,514
