Rank                                                                     Country                   Score	Rank_change_(2018)	Score_change_(2018)	Score_change_(2006) Rank          Country                Score   Rank_change_(2018)   Score_change_(2018)	Score_change_(2006)                                                                   
67                                                                       Venezuela                 0.713             -3                  +0.005          +0.047       144           Oman                   0.602   -5            -0.003         n/a
68                                                                       Tanzania                  0.713             3                   +0.008          +0.009       145           Lebanon                0.599   -5            +0.004         n/a
69                                                                       Bosnia Herzegovina        0.712             -7                  -0.001          n/a          146           Saudi Arabia           0.599   -5            +0.010         +0.075
70                                                                       North Macedonia           0.711             -4                  +0.003          +0.013       147           Chad                   0.596   -2            +0.016         +0.071
71                                                                       Montenegro                0.710             -2                  +0.004          n/a          148           Iran, Islamic Rep.     0.584   -6            -0.005         +0.004
72                                                                       Kazakhstan                0.710             -12                 -0.002          +0.018       149           Congo, Dem. Rep.       0.578   -5            -0.003         n/a
73                                                                       Botswana                  0.709             -18                 -0.006          +0.020       150           Syria                  0.567   -4            -0.001         n/a
74                                                                       Georgia                   0.708             25                  +0.030          +0.038       151           Pakistan               0.564   -3            +0.014         +0.020
75                                                                       Thailand                  0.708             -2                  +0.006          +0.024       152           Iraq                   0.530   -5            -0.021         n/a
76                                                                       Italy                     0.707             -6                  +0.001          +0.061       153           Yemen                  0.494   -4            -0.006         +0.034
77                                                                       Suriname                  0.707             2                   +0.012          n/a
