Rank                                                             Country                         Economic_Score_(0-1)   Economic_Rank           Country    Economic_Score_(0-1)   Education_Rank  Country   Education_Score_(0-1) Education_Rank  Country   Education_Score_(0-1)
60                                                               Netherlands                              0.702             137                 United Arab Emirates   0.472         60            Azerbaijan               0.996         137    Mauritania             0.879
61                                                               Georgia                                  0.701             138                 Algeria                0.461         61            Moldova                  0.996         138    Burkina Faso           0.873
62                                                               Serbia                                   0.700             139                 Lebanon                0.442         62            Croatia                  0.995         139    Sierra Leone           0.860
63                                                               Tanzania                                 0.698             140                 Egypt                  0.438         63            Kazakhstan               0.995         140    Ethiopia               0.850
64                                                               Uruguay                                  0.696             141                 Bangladesh             0.438         64            Argentina                0.995         141    Liberia                0.839
65                                                               France                                   0.691             142                 Tunisia                0.434         65            Panama                   0.994         142    Côte d'Ivoire          0.828
66                                                               Cameroon                                 0.689             143                 Oman                   0.431         66            Trinidad and Tobago*     0.994         143    Pakistan               0.823
67                                                               Israel                                   0.688             144                 Mauritania             0.411         67            South Africa             0.994         144    Iraq                   0.812
68                                                               Indonesia                                0.685             145                 Jordan                 0.408         68            Suriname                 0.993         145    Nigeria                0.806
69                                                               Venezuela                                0.683             146                 Morocco                0.405         69            Greece                   0.993         146    Togo                   0.778
70                                                               Papua New Guinea*                        0.683             147                 Iran                   0.381         70            Hungary                  0.993         147    Angola                 0.759
71                                                               Chad                                     0.682             148                 Saudi Arabia           0.375         71            Mongolia                 0.993         148    Mali                   0.757
72                                                               Spain                                    0.681             149                 India                  0.354         72            Brunei Darussalam        0.992         149    Benin                  0.733
73                                                               Cyprus                                   0.681             150                 Pakistan               0.327         73            Portugal                 0.992         150    Yemen                  0.717
74                                                               Ecuador                                  0.680             151                 Yemen                  0.273         74            Mauritius                0.992         151    Guinea                 0.680
75                                                               Belize                                   0.680             152                 Syria                  0.249         75            El Salvador              0.992         152    Congo Dem Rep          0.658
76                                                               Greece                                   0.675             153                 Iraq                   0.227         76            Swaziland                0.992         153    Chad                   0.589
77                                                               Croatia                                  0.674                                                                      77            Switzerland              0.992
